﻿Daily Discharge (m3/s) (PARAM = 1),,,,
 ID,PARAM,Date,Value,SYM
08NK028,1,1984-09-24,0.194,
08NK028,1,1984-09-25,0.187,
08NK028,1,1984-09-26,0.176,
08NK028,1,1984-09-27,0.168,
08NK028,1,1984-09-28,0.158,
08NK028,1,1984-09-29,0.153,
08NK028,1,1984-09-30,0.156,
08NK028,1,1984-10-01,0.158,
08NK028,1,1984-10-02,0.167,A
08NK028,1,1984-10-03,,
08NK028,1,1984-10-04,,
08NK028,1,1984-10-05,,
08NK028,1,1984-10-06,,
08NK028,1,1984-10-07,,
08NK028,1,1984-10-08,,
08NK028,1,1984-10-09,,
08NK028,1,1984-10-10,,
08NK028,1,1984-10-11,,
08NK028,1,1984-10-12,,
08NK028,1,1984-10-13,,
08NK028,1,1984-10-14,,
08NK028,1,1984-10-15,,
08NK028,1,1984-10-16,,
08NK028,1,1984-10-17,,
08NK028,1,1984-10-18,,
08NK028,1,1984-10-19,,
08NK028,1,1984-10-20,,
08NK028,1,1984-10-21,,
08NK028,1,1984-10-22,,
08NK028,1,1984-10-23,,
08NK028,1,1984-10-24,,
08NK028,1,1984-10-25,,
08NK028,1,1984-10-26,,
08NK028,1,1984-10-27,,
08NK028,1,1984-10-28,,
08NK028,1,1984-10-29,,
08NK028,1,1984-10-30,,
08NK028,1,1984-10-31,,
08NK028,1,1984-11-01,,
08NK028,1,1984-11-02,,
08NK028,1,1984-11-03,,
08NK028,1,1984-11-04,,
08NK028,1,1984-11-05,,
08NK028,1,1984-11-06,,
08NK028,1,1984-11-07,,
08NK028,1,1984-11-08,,
08NK028,1,1984-11-09,,
08NK028,1,1984-11-10,,
08NK028,1,1984-11-11,,
08NK028,1,1984-11-12,,
08NK028,1,1984-11-13,,
08NK028,1,1984-11-14,,
08NK028,1,1984-11-15,,
08NK028,1,1984-11-16,,
08NK028,1,1984-11-17,,
08NK028,1,1984-11-18,,
08NK028,1,1984-11-19,,
08NK028,1,1984-11-20,,
08NK028,1,1984-11-21,,
08NK028,1,1984-11-22,,
08NK028,1,1984-11-23,,
08NK028,1,1984-11-24,,
08NK028,1,1984-11-25,,
08NK028,1,1984-11-26,,
08NK028,1,1984-11-27,,
08NK028,1,1984-11-28,,
08NK028,1,1984-11-29,,
08NK028,1,1984-11-30,,
08NK028,1,1984-12-01,,
08NK028,1,1984-12-02,,
08NK028,1,1984-12-03,,
08NK028,1,1984-12-04,,
08NK028,1,1984-12-05,,
08NK028,1,1984-12-06,,
08NK028,1,1984-12-07,,
08NK028,1,1984-12-08,,
08NK028,1,1984-12-09,,
08NK028,1,1984-12-10,,
08NK028,1,1984-12-11,,
08NK028,1,1984-12-12,,
08NK028,1,1984-12-13,,
08NK028,1,1984-12-14,,
08NK028,1,1984-12-15,,
08NK028,1,1984-12-16,,
08NK028,1,1984-12-17,,
08NK028,1,1984-12-18,,
08NK028,1,1984-12-19,,
08NK028,1,1984-12-20,,
08NK028,1,1984-12-21,,
08NK028,1,1984-12-22,,
08NK028,1,1984-12-23,,
08NK028,1,1984-12-24,,
08NK028,1,1984-12-25,,
08NK028,1,1984-12-26,,
08NK028,1,1984-12-27,,
08NK028,1,1984-12-28,,
08NK028,1,1984-12-29,,
08NK028,1,1984-12-30,,
08NK028,1,1984-12-31,,
08NK028,1,1985-01-01,,
08NK028,1,1985-01-02,,
08NK028,1,1985-01-03,,
08NK028,1,1985-01-04,,
08NK028,1,1985-01-05,,
08NK028,1,1985-01-06,,
08NK028,1,1985-01-07,,
08NK028,1,1985-01-08,,
08NK028,1,1985-01-09,,
08NK028,1,1985-01-10,,
08NK028,1,1985-01-11,,
08NK028,1,1985-01-12,,
08NK028,1,1985-01-13,,
08NK028,1,1985-01-14,,
08NK028,1,1985-01-15,,
08NK028,1,1985-01-16,,
08NK028,1,1985-01-17,,
08NK028,1,1985-01-18,,
08NK028,1,1985-01-19,,
08NK028,1,1985-01-20,,
08NK028,1,1985-01-21,,
08NK028,1,1985-01-22,,
08NK028,1,1985-01-23,,
08NK028,1,1985-01-24,,
08NK028,1,1985-01-25,,
08NK028,1,1985-01-26,,
